article_url,page_url,page_no,game,resolution,gpu,fps,chart_rank
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/5.html,5,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,unknown,16:01 by xehmadus RX 9000 series GPU Owners Club ( 1284 ),1284.0,1
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/5.html,5,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,unknown,NVIDIA GeForce RTX 50-Series SUPER GPUs Could Arrive at CES 2026 ( 69 ),69.0,2
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/6.html,6,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,1920x1080,Drivers: RTX 5060 Ti: 575.94 Press Driver Other NVIDIA cards: 572.83 WHQL AMD: 25.3.2 Beta Intel: 101.6732 Beta Date of Retest,101.6732,1
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/6.html,6,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,1920x1080,2025-04-01: Arc A770 16 GB,16.0,2
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/6.html,6,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,1920x1080,2025-04-01: RTX 3060 12 GB,12.0,3
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/6.html,6,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,1920x1080,2025-04-02: RTX 3070 8 GB,8.0,4
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/6.html,6,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,1920x1080,2025-04-02: RTX 3080 10 GB,10.0,5
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/6.html,6,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,1920x1080,2025-04-02: RTX 3090 Ti 24 GB,24.0,6
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/6.html,6,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,1920x1080,2025-04-03: RTX 4060 8 GB,8.0,7
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/6.html,6,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,1920x1080,2025-04-03: RTX 4060 Ti 8 GB,8.0,8
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/6.html,6,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,1920x1080,2025-04-03: RTX 4060 Ti 16 GB,16.0,9
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/6.html,6,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,1920x1080,2025-04-04: RTX 4070 12 GB,12.0,10
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/6.html,6,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,1920x1080,2025-04-04: RTX 4070 Super 12 GB,12.0,11
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/6.html,6,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,1920x1080,2025-04-04: RTX 4070 Ti 12 GB,12.0,12
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/6.html,6,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,1920x1080,2025-04-05: RTX 4070 Ti Super 16 GB,16.0,13
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/6.html,6,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,1920x1080,2025-04-05: RTX 4080 16 GB,16.0,14
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/6.html,6,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,1920x1080,2025-04-05: RTX 4080 Super 16 GB,16.0,15
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/6.html,6,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,1920x1080,2025-04-05: RTX 4090 24 GB,24.0,16
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/6.html,6,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,1920x1080,2025-04-06: RTX 5070 16 GB,16.0,17
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/6.html,6,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,1920x1080,2025-04-06: RTX 5070 Ti 16 GB,16.0,18
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/6.html,6,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,1920x1080,2025-04-06: RTX 5080 16 GB,16.0,19
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/6.html,6,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,1920x1080,2025-04-07: RTX 5090 32 GB,32.0,20
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/6.html,6,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,1920x1080,2025-04-07: RX 6800 XT 16 GB,16.0,21
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/6.html,6,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,1920x1080,2025-04-07: RX 6900 XT 16 GB,16.0,22
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/6.html,6,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,1920x1080,2025-04-08: RX 7600 8 GB,8.0,23
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/6.html,6,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,1920x1080,2025-04-08: RX 7600 XT 16 GB,16.0,24
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/6.html,6,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,1920x1080,2025-04-08: RX 7700 XT 12 GB,12.0,25
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/6.html,6,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,1920x1080,2025-04-09: RX 7800 XT 16 GB,16.0,26
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/6.html,6,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,1920x1080,2025-04-09: RX 7900 GRE 16 GB,16.0,27
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/6.html,6,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,1920x1080,2025-04-09: RX 7900 XT 20 GB,20.0,28
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/6.html,6,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,1920x1080,2025-04-09: RX 7900 XTX 24 GB,24.0,29
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/6.html,6,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,1920x1080,2025-04-10: RX 9070 16 GB,16.0,30
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/6.html,6,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,1920x1080,2025-04-10: RX 9070 XT 16 GB,16.0,31
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/6.html,6,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,1920x1080,16:01 by xehmadus RX 9000 series GPU Owners Club ( 1284 ),1284.0,32
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/6.html,6,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,1920x1080,NVIDIA GeForce RTX 50-Series SUPER GPUs Could Arrive at CES 2026 ( 69 ),69.0,33
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/7.html,7,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,unknown,16:01 by xehmadus RX 9000 series GPU Owners Club ( 1284 ),1284.0,1
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/7.html,7,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,unknown,NVIDIA GeForce RTX 50-Series SUPER GPUs Could Arrive at CES 2026 ( 69 ),69.0,2
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/8.html,8,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,unknown,16:01 by xehmadus RX 9000 series GPU Owners Club ( 1284 ),1284.0,1
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/8.html,8,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,unknown,NVIDIA GeForce RTX 50-Series SUPER GPUs Could Arrive at CES 2026 ( 69 ),69.0,2
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/9.html,9,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,unknown,16:01 by xehmadus RX 9000 series GPU Owners Club ( 1284 ),1284.0,1
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/9.html,9,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,unknown,NVIDIA GeForce RTX 50-Series SUPER GPUs Could Arrive at CES 2026 ( 69 ),69.0,2
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/10.html,10,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,unknown,16:01 by xehmadus RX 9000 series GPU Owners Club ( 1284 ),1284.0,1
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/10.html,10,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,unknown,NVIDIA GeForce RTX 50-Series SUPER GPUs Could Arrive at CES 2026 ( 69 ),69.0,2
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/11.html,11,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,unknown,16:01 by xehmadus RX 9000 series GPU Owners Club ( 1284 ),1284.0,1
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/11.html,11,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,unknown,NVIDIA GeForce RTX 50-Series SUPER GPUs Could Arrive at CES 2026 ( 69 ),69.0,2
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/12.html,12,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,unknown,16:01 by xehmadus RX 9000 series GPU Owners Club ( 1284 ),1284.0,1
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/12.html,12,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,unknown,NVIDIA GeForce RTX 50-Series SUPER GPUs Could Arrive at CES 2026 ( 69 ),69.0,2
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/13.html,13,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,unknown,16:01 by xehmadus RX 9000 series GPU Owners Club ( 1284 ),1284.0,1
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/13.html,13,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,unknown,NVIDIA GeForce RTX 50-Series SUPER GPUs Could Arrive at CES 2026 ( 69 ),69.0,2
